name,wins,losses,draws,weight_Normalized,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,division,age,reach_Normalized,height_Normalized,Physicality_Score,time_off,KO_Percentage,Striking_Score,Submission_Percentage,Grappling_Score,TotalFights,WinLossRatio,Experience_Score
Pablo Alfonso,9,7,0,0.06013791274366793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Featherweight,35.8830242510699,0.4423076923076923,0.2758620689655172,0.7783076740168774,,0.0,0.0,0.0,0.0,16,0.5625,3.3125
Andy Wang,7,8,1,0.07518896698050656,3.43,0.36,10.29,0.62,0.0,0.0,0.0,0.0,Welterweight,47.0,0.5218723584108196,0.20689655172413768,0.8039578771154638,,0.0,-0.5209999999999999,0.0,0.0,16,0.4375,3.2875
Stephen Bass,11,2,0,0.06013791274366793,4.87,0.52,5.87,0.55,0.0,0.0,0.0,0.0,Featherweight,42.0,0.4423076923076923,0.3103448275862067,0.8127904326375669,4820.0,0.0,0.5235000000000002,0.0,0.0,13,0.8461538461538461,2.769230769230769
Fabio Silva,1,8,0,0.15037793396101312,0.09,0.11,5.9,0.38,0.0,0.0,0.0,0.0,Light Heavyweight,42.0,0.6674641148325355,0.3793103448275862,1.1971523936211348,,0.0,-0.7835,0.0,0.0,9,0.1111111111111111,1.8222222222222222
Kali Robbins,6,3,0,0.01501790213499534,3.73,0.46,9.4,0.44,2.0,0.33,0.0,0.0,Strawweight,40.0,0.1923076923076925,0.10344827586206903,0.3107738703047569,,0.0,-0.3194999999999999,0.0,2.0495,9,0.6666666666666666,1.9333333333333333
Jason Godsey,16,16,0,0.18797241745126642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Heavyweight,44.17465753424658,0.7320261437908496,0.48275862068965525,1.4027571819317712,,0.0,0.0,0.0,0.0,32,0.5,6.5
Felipe Portela,9,2,0,0.09773239623392123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middleweight,39.515151515151516,0.5968489341983318,0.3835561420620804,1.0781374724943333,,0.0,0.0,0.0,0.0,11,0.8181818181818182,2.3636363636363638
Robert Peralta,18,8,0,0.06013791274366793,3.76,0.44,2.97,0.53,0.59,0.66,0.65,0.0,Featherweight,38.0,0.5,0.2758620689655172,0.8359999817091851,3602.0,28.57142857142857,7.804857142857142,0.14285714285714285,0.7897142857142857,26,0.6923076923076923,5.338461538461539
Che Mills,16,10,0,0.09773239623392123,2.08,0.52,2.87,0.43,1.18,0.66,0.58,0.0,Middleweight,42.0,0.6923076923076921,0.4482758620689653,1.2383159506105788,4519.0,66.66666666666666,16.924666666666667,0.0,1.337,26,0.6153846153846154,5.323076923076924
Khadzhi Bestaev,10,4,0,0.12027582548733588,6.15,0.29,10.0,0.43,0.0,0.0,0.0,0.0,Light Heavyweight,41.277864992150704,0.6923076923076921,0.6206896551724138,1.4332731729674417,,0.0,0.16000000000000014,0.0,0.0,14,0.7142857142857143,2.942857142857143
