RedFighter,BlueFighter,Winner,Date,Red_Striking_Score,Red_Grappling_Score,Red_Experience_Score,Red_Physicality_Score,Red_Age,Blue_Striking_Score,Blue_Grappling_Score,Blue_Experience_Score,Blue_Physicality_Score,Blue_Age,Experience_Difference,Striking_Difference,Grappling_Difference,Physicality_Difference,age_Difference
Ricardo Funch,Claude Patrick,0,2010-06-12,8.64033333333333,1.4936666666666667,3.12,1.0579445978254332,44.0,0.53,4.2459999999999996,3.375,1.1308888949076612,44.0,0.2549999999999999,8.110333333333331,2.7523333333333326,0.07294429708222805,0.0
Mike Pyle,Jesse Lennox,1,2010-06-12,17.6265,3.4381250000000003,8.528571428571428,1.1269101150668124,49.0,0.3524999999999999,1.932,3.7555555555555555,0.9465387622816662,42.0,4.773015873015873,17.274,1.5061250000000004,0.18037135278514616,7.0
Keith Jardine,Matt Hamill,0,2010-06-19,0.526,2.0095,6.113333333333333,1.295342138484683,49.0,4.694666666666666,3.1420000000000003,4.12,1.2909614883376705,48.0,1.9933333333333332,4.168666666666666,1.1325000000000003,0.004380650147012499,1.0
Chris Leben,Aaron Simpson,1,2010-06-19,9.824,2.08575,6.733333333333334,1.0765092472379987,44.0,6.9585,4.414,3.5411764705882356,1.0884485766052736,50.0,3.1921568627450987,2.8655,2.3282499999999997,0.011939329367274931,6.0
Spencer Fisher,Dennis Siver,0,2010-06-19,5.52,1.5750000000000002,6.745454545454546,0.7011836619407188,48.0,4.574653846153846,1.3214615384615387,6.93529411764706,0.7285729260062672,46.0,0.1898395721925139,0.9453461538461534,0.2535384615384615,0.027389264065548424,2.0
Jamie Yager,Rich Attonito,0,2010-06-19,25.56,0.066,2.5333333333333337,1.2360158023888368,41.0,10.433,0.8705,3.1333333333333333,0.9810215209023562,47.0,0.5999999999999996,15.126999999999999,0.8045,0.2549942814864806,6.0
Court McGee,Kris McCray,1,2010-06-19,4.030369565217391,2.429108695652174,6.9294117647058835,1.1308888949076612,40.0,0.45799999999999996,3.1671666666666662,2.723076923076923,1.203833191989889,43.0,4.20633484162896,3.5723695652173912,0.7380579710144923,0.07294429708222783,3.0
Brad Tavares,Seth Baczynski,1,2010-06-19,7.5605,0.931,5.93793103448276,1.1839363029409165,37.0,9.528409090909092,1.8074545454545454,6.91764705882353,1.2688199293904199,43.0,0.9797160243407701,1.9679090909090915,0.8764545454545454,0.08488362644950342,6.0
Josh Bryant,Kyle Noke,0,2010-06-19,24.4645,0.0,3.9578947368421056,1.132567526526768,44.0,6.9399999999999995,2.560333333333334,6.733333333333334,1.2383159506105788,44.0,2.7754385964912287,17.524500000000003,2.560333333333334,0.10574842408381069,0.0
Chris Camozzi,James Hammortree,1,2010-06-19,1.9362894736842104,0.9212894736842104,7.5297297297297305,1.2568806000231447,38.0,-0.010999999999999899,3.1750000000000003,1.9333333333333333,1.3049813196302162,41.0,5.596396396396397,1.9472894736842103,2.25371052631579,0.04810071960707152,3.0
James McSweeney,Travis Browne,0,2010-06-19,25.5085,1.7695,6.1,1.4704657861515316,44.0,17.4185,1.61825,5.338461538461539,1.653948863806241,42.0,0.7615384615384606,8.09,0.1512500000000001,0.1834830776547094,2.0
John Gunderson,Mark Holst,1,2010-06-19,0.14450000000000002,3.7305,10.732075471698115,0.8086107176436361,46.0,-0.07950000000000002,3.3949999999999996,3.7333333333333334,1.0108544288396017,39.0,6.998742138364782,0.22400000000000003,0.3355000000000006,0.20224371119596563,7.0
Chris Leben,Yoshihiro Akiyama,1,2010-07-03,9.824,2.08575,6.733333333333334,1.0765092472379987,44.0,4.566166666666666,3.5241666666666664,4.14,1.0964061362869715,49.0,2.5933333333333346,5.257833333333334,1.4384166666666665,0.0198968890489728,5.0
Chris Lytle,Matt Brown,1,2010-07-03,0.6625000000000001,3.3625,10.914814814814816,0.861658125676892,50.0,13.6945,3.172,9.115555555555556,1.1653716535283507,44.0,1.7992592592592604,13.032,0.19049999999999967,0.30371352785145866,6.0
